l,T,S,
1.7, 0.4,0.164682, 
1.7, 0.5,0.0822205, 
1.7, 0.6,0, 
1.7, 0.7,0.0914984, 
1.7, 0.8,0, 
1.7, 0.9,0.105688, 
1.7, 1,0, 
1.7, 1.1,0.120426, 
1.7, 1.2,0, 
1.7, 1.3,0, 
1.7, 1.4,0, 
1.7, 1.5,0, 
1.7, 1.6,0, 
1.7, 1.7,0, 
1.7, 1.8,0, 
1.7, 1.9,0, 
1.7, 2,0, 
1.7, 2.1,0, 
1.7, 2.2,0, 
1.7, 2.3,0, 
1.7, 2.4,0, 
1.7, 2.5,0, 
1.7, 2.6,0, 
1.7, 2.7,0, 
1.7, 2.8,0, 
1.7, 2.9,0, 
1.7, 3,0, 
1.7, 3.1,0, 
1.7, 3.2,0, 
1.7, 3.3,0, 
1.7, 3.4,0, 
1.7, 3.5,0, 
1.7, 3.6,0, 
1.7, 3.7,0, 
1.7, 3.8,0, 
1.7, 3.9,0, 
1.7, 4,0, 
1.7, 4.1,0, 
1.7, 4.2,0, 
1.7, 4.3,0, 
1.7, 4.4,0, 
1.7, 4.5,0, 
1.7, 4.6,0, 
1.7, 4.7,0, 
1.7, 4.8,0, 
1.7, 4.9,0, 
1.7, 5,0, 
1.8, 0.1,0.173845, 
1.8, 0.2,0.0975443, 
1.8, 0.3,0.115663, 
1.8, 0.4,0, 
1.8, 0.5,0.131815, 
1.8, 0.6,0.0783295, 
1.8, 0.7,0, 
1.8, 0.8,0.108123, 
1.8, 0.9,0, 
1.8, 1,0.110985, 
1.8, 1.1,0, 
1.8, 1.2,0.107335, 
1.8, 1.3,0, 
1.8, 1.4,0, 
1.8, 1.5,0, 
1.8, 1.6,0, 
1.8, 1.7,0, 
1.8, 1.8,0, 
1.8, 1.9,0, 
1.8, 2,0, 
1.8, 2.1,0, 
1.8, 2.2,0, 
1.8, 2.3,0, 
1.8, 2.4,0, 
1.8, 2.5,0, 
1.8, 2.6,0, 
1.8, 2.7,0, 
1.8, 2.8,0, 
1.8, 2.9,0, 
1.8, 3,0, 
1.8, 3.1,0, 
1.8, 3.2,0, 
1.8, 3.3,0, 
1.8, 3.4,0, 
1.8, 3.5,0, 
1.8, 3.6,0, 
1.8, 3.7,0, 
1.8, 3.8,0, 
1.8, 3.9,0, 
1.8, 4,0, 
1.8, 4.1,0, 
1.8, 4.2,0, 
1.8, 4.3,0, 
1.8, 4.4,0, 
1.8, 4.5,0, 
1.8, 4.6,0, 
1.8, 4.7,0, 
1.8, 4.8,0, 
1.8, 4.9,0, 
1.8, 5,0, 
1.9, 0.1,0.114238, 
1.9, 0.2,0.135209, 
1.9, 0.3,0.101948, 
1.9, 0.4,0.0585925, 
1.9, 0.5,0.140243, 
1.9, 0.6,0.0717053, 
1.9, 0.7,0, 
1.9, 0.8,0, 
1.9, 0.9,0, 
1.9, 1,0, 
1.9, 1.1,0, 
1.9, 1.2,0, 
1.9, 1.3,0, 
1.9, 1.4,0, 
1.9, 1.5,0, 
1.9, 1.6,0, 
1.9, 1.7,0, 
1.9, 1.8,0, 
1.9, 1.9,0, 
1.9, 2,0, 
1.9, 2.1,0, 
1.9, 2.2,0, 
1.9, 2.3,0, 
1.9, 2.4,0, 
1.9, 2.5,0, 
1.9, 2.6,0, 
1.9, 2.7,0, 
1.9, 2.8,0, 
1.9, 2.9,0, 
1.9, 3,0, 
1.9, 3.1,0, 
1.9, 3.2,0, 
1.9, 3.3,0, 
1.9, 3.4,0, 
1.9, 3.5,0, 
1.9, 3.6,0, 
1.9, 3.7,0, 
1.9, 3.8,0, 
1.9, 3.9,0, 
1.9, 4,0, 
1.9, 4.1,0, 
1.9, 4.2,0, 
1.9, 4.3,0, 
1.9, 4.4,0, 
1.9, 4.5,0, 
1.9, 4.6,0, 
1.9, 4.7,0, 
1.9, 4.8,0, 
1.9, 4.9,0, 
1.9, 5,0, 
2, 0.1,0.0678385, 
2, 0.2,0.156663, 
2, 0.3,0.10439, 
2, 0.4,0, 
2, 0.5,0, 
2, 0.6,0, 
2, 0.7,0.0993821, 
2, 0.8,0, 
2, 0.9,0, 
2, 1,0, 
2, 1.1,0, 
2, 1.2,0, 
2, 1.3,0, 
2, 1.4,0, 
2, 1.5,0, 
2, 1.6,0, 
2, 1.7,0.151109, 
2, 1.8,0, 
2, 1.9,0, 
2, 2,0, 
2, 2.1,0, 
2, 2.2,0, 
2, 2.3,0, 
2, 2.4,0, 
2, 2.5,0, 
2, 2.6,0, 
2, 2.7,0, 
2, 2.8,0, 
2, 2.9,0, 
2, 3,0, 
2, 3.1,0, 
2, 3.2,0, 
2, 3.3,0, 
2, 3.4,0, 
2, 3.5,0, 
2, 3.6,0, 
2, 3.7,0, 
2, 3.8,0, 
2, 3.9,0, 
2, 4,0, 
2, 4.1,0, 
2, 4.2,0, 
2, 4.3,0, 
2, 4.4,0, 
2, 4.5,0, 
2, 4.6,0, 
2, 4.7,0, 
2, 4.8,0, 
2, 4.9,0, 
2, 5,0, 
2.1, 0.1,0.142981, 
2.1, 0.2,0.157879, 
